OID_,granularmo,GranularSe,GranularTo,servicetyp,speedmph,vehiclefle,vehicleid,xcoord,ycoord,reporttime
9456,C,0,76486,In Transit,29,Fleet,H85,-88.24007,41.80115,1643969045
10304,C,0,559844,In Transit,6,Fleet,H70,-87.9717,41.8317,1643969072
10307,C,0,591206,In Transit,6,Fleet,H69,-87.9488,41.7741,1643969073
10473,C,0,685399,In Transit,15,Fleet,H93,-88.14215,41.85763,1643969073
10588,M,0,30939,In Transit,38,Fleet,H74,-88.09563,41.77338,1643969074
10346,C,0,76486,In Transit,35,Fleet,H85,-88.24057,41.79842,1643969075
10380,C,0,239902,Idle,0,Fleet,H75,-88.0428,41.80777,1643969104
11123,C,0,1004646,Idle,0,Fleet,H67,-88.03997,41.92118,1643969105
10350,M,0,30939,In Transit,35,Fleet,H74,-88.09817,41.76758,1643969105
10665,C,0,76486,In Transit,33,Fleet,H85,-88.24108,41.7929,1643969105
10430,C,0,685399,In Transit,8,Fleet,H93,-88.13997,41.85793,1643969105
10978,C,0,1004646,Idle,0,Fleet,H67,-88.03997,41.9212,1643969134
10466,M,0,30939,In Transit,40,Fleet,H74,-88.1002,41.76477,1643969135
10808,C,0,685399,In Transit,8,Fleet,H93,-88.14125,41.8584,1643969135
10705,C,0,76486,In Transit,33,Fleet,H85,-88.24132,41.7901,1643969136
10360,C,100,650782,Spreading,11,Fleet,H60,-88.00863,41.77302,1643969164
10376,C,0,1004646,Idle,0,Fleet,H67,-88.03997,41.92118,1643969164
10948,C,250,685399,Spreading,6,Fleet,H93,-88.14242,41.85777,1643969165
10543,M,0,30939,In Transit,42,Fleet,H74,-88.10398,41.75892,1643969167
10566,C,0,76486,In Transit,29,Fleet,H85,-88.24137,41.7847,1643969167
10645,M,0,30939,Idle,0,Fleet,H74,-88.1039,41.7557,1643969195
11031,C,100,685427,Spreading,20,Fleet,H93,-88.14248,41.85985,1643969195
10516,C,0,76491,Idle,0,Fleet,H85,-88.24085,41.78173,1643969196
10731,C,0,1004646,Idle,0,Fleet,H67,-88.03998,41.92118,1643969225
10786,C,100,685434,Spreading,20,Fleet,H93,-88.1425,41.8625,1643969225
10385,C,0,591206,In Transit,6,Fleet,H69,-87.93588,41.77437,1643969226
10414,M,0,30939,In Transit,38,Fleet,H74,-88.10377,41.75365,1643969226
10790,C,0,76491,In Transit,2,Fleet,H85,-88.24083,41.78172,1643969227
11455,C,0,1004646,Idle,0,Fleet,H67,-88.03997,41.92117,1643969253
11528,C,0,591207,In Transit,35,Fleet,H69,-87.93575,41.77245,1643969253
11554,C,0,239902,Idle,0,Fleet,H75,-88.0428,41.8078,1643969253
11631,C,100,685451,Spreading,20,Fleet,H93,-88.14302,41.8652,1643969253
11762,M,0,30939,In Transit,33,Fleet,H74,-88.1037,41.75042,1643969254
11553,C,0,76491,In Transit,4,Fleet,H85,-88.24215,41.7809,1643969255
11997,C,100,685457,Spreading,20,Fleet,H93,-88.14388,41.86808,1643969293
11926,M,0,30939,Idle,0,Fleet,H74,-88.10367,41.74917,1643969294
11740,C,0,76491,In Transit,8,Fleet,H85,-88.24192,41.78147,1643969294
11476,C,0,591207,Idle,0,Fleet,H69,-87.93545,41.76462,1643969315
11520,C,0,559848,In Transit,26,Fleet,H70,-87.97237,41.84865,1643969315
11807,C,0,685461,In Transit,26,Fleet,H93,-88.14483,41.871,1643969315
12081,M,0,30939,In Transit,20,Fleet,H74,-88.10413,41.74907,1643969316
11471,C,150,76491,Spreading,15,Fleet,H85,-88.24062,41.78217,1643969317
11585,C,0,685465,In Transit,13,Fleet,H93,-88.14537,41.87227,1643969344
11466,M,0,30939,In Transit,33,Fleet,H74,-88.1076,41.749,1643969345
11733,C,0,76503,In Transit,24,Fleet,H85,-88.24083,41.78363,1643969346
11497,C,0,1004646,Idle,0,Fleet,H67,-88.03995,41.92113,1643969376
11688,C,0,591207,In Transit,35,Fleet,H69,-87.93538,41.76225,1643969376
11871,C,0,685465,In Transit,2,Fleet,H93,-88.14595,41.87367,1643969376
11927,M,0,30939,In Transit,11,Fleet,H74,-88.11458,41.74878,1643969377
11456,C,0,76503,In Transit,29,Fleet,H85,-88.24133,41.78798,1643969377
12093,C,100,650782,Spreading,8,Fleet,H60,-88.01297,41.75127,1643969402
11620,C,0,1004646,Idle,0,Fleet,H67,-88.03995,41.92113,1643969403
11524,C,0,591207,In Transit,35,Fleet,H69,-87.93523,41.75822,1643969403
11665,C,100,685465,Spreading,13,Fleet,H93,-88.14442,41.87462,1643969404
11698,M,0,30939,Idle,0,Fleet,H74,-88.11473,41.74878,1643969405
11898,C,0,76503,In Transit,26,Fleet,H85,-88.24113,41.79027,1643969405
12728,C,0,591207,In Transit,35,Fleet,H69,-87.93507,41.75417,1643969433
13075,M,0,30939,In Transit,2,Fleet,H74,-88.11478,41.74872,1643969434
13150,C,0,76503,In Transit,29,Fleet,H85,-88.24072,41.79502,1643969434
12658,C,100,685477,Spreading,13,Fleet,H93,-88.14187,41.87567,1643969434
12726,C,0,1004646,Idle,0,Fleet,H67,-88.03995,41.92113,1643969462
12611,C,0,591207,In Transit,33,Fleet,H69,-87.93498,41.75013,1643969463
12614,C,0,559848,Idle,0,Fleet,H70,-87.97295,41.86035,1643969463
12609,M,0,30939,In Transit,42,Fleet,H74,-88.12208,41.7486,1643969464
12890,C,0,76509,In Transit,31,Fleet,H85,-88.24043,41.79762,1643969464
12649,C,100,685480,Spreading,11,Fleet,H93,-88.13982,41.87618,1643969464
12748,C,0,591207,In Transit,6,Fleet,H69,-87.93497,41.74888,1643969496
12624,M,0,30939,In Transit,44,Fleet,H74,-88.12692,41.74848,1643969497
12581,C,0,76509,In Transit,35,Fleet,H85,-88.23963,41.80278,1643969497
12660,C,100,651156,Spreading,22,Fleet,H60,-88.02987,41.75093,1643969524
13040,C,0,591207,Idle,0,Fleet,H69,-87.93687,41.74713,1643969524
12635,C,100,685480,Spreading,2,Fleet,H93,-88.13642,41.8768,1643969524
12881,M,0,30939,In Transit,40,Fleet,H74,-88.13637,41.7483,1643969525
13322,C,0,76509,In Transit,31,Fleet,H85,-88.23892,41.80545,1643969525
12587,C,0,591207,In Transit,8,Fleet,H69,-87.93657,41.74702,1643969553
12695,C,0,559848,In Transit,6,Fleet,H70,-87.97292,41.86118,1643969553
12678,C,0,76509,In Transit,8,Fleet,H85,-88.23778,41.80795,1643969554
12927,C,100,685480,Spreading,13,Fleet,H93,-88.135,41.87707,1643969554
12589,M,0,30939,In Transit,40,Fleet,H74,-88.14087,41.74822,1643969556
12885,C,100,651276,Spreading,24,Fleet,H60,-88.03813,41.75067,1643969584
13210,C,100,685480,Spreading,13,Fleet,H93,-88.13175,41.87767,1643969585
12646,C,0,76509,In Transit,29,Fleet,H85,-88.2328,41.80705,1643969586
12818,M,0,30939,In Transit,38,Fleet,H74,-88.14958,41.74803,1643969587
13996,C,100,685480,Spreading,15,Fleet,H93,-88.12988,41.87802,1643969614
13739,C,0,591207,In Transit,6,Fleet,H69,-87.93507,41.74827,1643969615
14131,M,0,30939,In Transit,38,Fleet,H74,-88.15382,41.74795,1643969615
13736,C,0,76518,In Transit,20,Fleet,H85,-88.22862,41.80737,1643969615
13826,C,0,559848,Idle,0,Fleet,H70,-87.97313,41.8611,1643969643
13878,C,100,685480,Spreading,13,Fleet,H93,-88.1267,41.87852,1643969643
13932,M,0,30939,In Transit,35,Fleet,H74,-88.16233,41.74778,1643969645
13987,C,0,651325,In Transit,31,Fleet,H60,-88.0444,41.75043,1643969673
14384,C,0,685607,In Transit,20,Fleet,H93,-88.12413,41.87875,1643969673
14159,M,0,30939,In Transit,6,Fleet,H74,-88.16412,41.74783,1643969675
13976,C,0,76518,In Transit,24,Fleet,H85,-88.21625,41.81018,1643969696
13933,C,0,651325,In Transit,29,Fleet,H60,-88.05018,41.75023,1643969703
14074,C,0,685607,Idle,0,Fleet,H93,-88.12093,41.87905,1643969704
14025,M,0,30939,In Transit,2,Fleet,H74,-88.16655,41.74772,1643969706
13732,C,0,429961,Idle,0,Fleet,H78,-87.92423,41.93347,1643969706
13874,C,0,651325,In Transit,6,Fleet,H60,-88.05167,41.7502,1643969734
14066,C,0,559848,In Transit,22,Fleet,H70,-87.97287,41.8558,1643969734
14219,C,100,685608,Spreading,17,Fleet,H93,-88.1211,41.8799,1643969734
14584,M,0,30939,In Transit,33,Fleet,H74,-88.16917,41.74768,1643969736
13751,C,0,76518,In Transit,24,Fleet,H85,-88.21343,41.81033,1643969736
14102,C,0,429961,In Transit,8,Fleet,H78,-87.92373,41.93318,1643969737
13958,C,0,651325,In Transit,35,Fleet,H60,-88.06,41.75003,1643969762
14262,C,0,1004646,Idle,0,Fleet,H67,-88.04003,41.92115,1643969763
13866,M,0,591207,Idle,0,Fleet,H69,-87.93482,41.74867,1643969763
13798,C,0,559866,In Transit,6,Fleet,H70,-87.973,41.85478,1643969763
13808,C,100,685608,Spreading,11,Fleet,H93,-88.1213,41.88198,1643969764
13814,M,0,30939,In Transit,40,Fleet,H74,-88.1776,41.74758,1643969765
14285,C,0,76518,In Transit,24,Fleet,H85,-88.2081,41.81035,1643969765
13882,C,0,429961,In Transit,11,Fleet,H78,-87.92377,41.93183,1643969766
14890,M,0,591207,Idle,0,Fleet,H69,-87.93478,41.74863,1643969795
14875,C,0,559866,In Transit,6,Fleet,H70,-87.97405,41.85487,1643969795
14992,C,100,685608,Spreading,2,Fleet,H93,-88.1213,41.88237,1643969796
15208,M,0,30939,In Transit,42,Fleet,H74,-88.18223,41.74752,1643969797
14861,C,0,429968,In Transit,17,Fleet,H78,-87.9247,41.93147,1643969797
15308,C,0,76518,Idle,0,Fleet,H85,-88.20418,41.80987,1643969797
15002,C,0,651325,In Transit,11,Fleet,H60,-88.06395,41.74973,1643969824
14948,C,0,591207,In Transit,22,Fleet,H69,-87.93488,41.74967,1643969824
14975,C,0,685645,In Transit,17,Fleet,H93,-88.12138,41.88367,1643969825
15011,M,0,30939,In Transit,40,Fleet,H74,-88.1917,41.74743,1643969827
15281,C,150,429968,Spreading,22,Fleet,H78,-87.92898,41.93157,1643969827
15000,C,150,76518,Spreading,8,Fleet,H85,-88.20407,41.80985,1643969827
15692,C,100,685645,Spreading,13,Fleet,H93,-88.1214,41.8856,1643969853
15111,C,150,76518,Spreading,29,Fleet,H85,-88.19957,41.80897,1643969854
14985,C,0,429979,In Transit,22,Fleet,H78,-87.93123,41.93167,1643969855
15092,C,0,651325,In Transit,29,Fleet,H60,-88.06288,41.74275,1643969883
14915,C,0,591207,In Transit,22,Fleet,H69,-87.93507,41.75553,1643969883
14893,C,100,685654,Spreading,11,Fleet,H93,-88.12135,41.88758,1643969884
14952,C,150,429979,Spreading,17,Fleet,H78,-87.93453,41.93175,1643969885
14888,C,150,76518,Spreading,29,Fleet,H85,-88.19627,41.80833,1643969885
14921,C,0,651325,In Transit,8,Fleet,H60,-88.0644,41.74163,1643969913
14970,C,0,559866,In Transit,6,Fleet,H70,-87.97252,41.84793,1643969913
15271,C,100,685654,Idle,0,Fleet,H93,-88.12135,41.8877,1643969913
15087,C,150,76518,Spreading,26,Fleet,H85,-88.19042,41.80723,1643969914
15379,C,150,429979,Spreading,17,Fleet,H78,-87.93768,41.9316,1643969915
15105,C,0,651325,Idle,0,Fleet,H60,-88.06397,41.74177,1643969943
15102,C,0,559885,In Transit,20,Fleet,H70,-87.97245,41.8459,1643969944
15012,C,0,685669,In Transit,8,Fleet,H93,-88.1212,41.88782,1643969944
15297,C,150,429979,Spreading,6,Fleet,H78,-87.93923,41.93157,1643969946
14881,C,150,76518,Spreading,2,Fleet,H85,-88.18868,41.80692,1643969946
15338,M,0,30939,Idle,0,Fleet,H74,-88.20523,41.74728,1643969947
15043,C,0,591207,In Transit,8,Fleet,H69,-87.93537,41.76475,1643969974
15156,C,300,559885,Spreading,26,Fleet,H70,-87.97235,41.84308,1643969975
15398,C,0,685669,In Transit,6,Fleet,H93,-88.12088,41.88747,1643969975
15163,C,150,429979,Spreading,17,Fleet,H78,-87.94215,41.93138,1643969976
15428,M,0,30939,In Transit,2,Fleet,H74,-88.20527,41.74728,1643969977
14935,C,150,76518,Spreading,31,Fleet,H85,-88.18282,41.80692,1643969977
16058,C,0,559886,In Transit,31,Fleet,H70,-87.97218,41.83952,1643970004
16108,C,150,76518,Spreading,26,Fleet,H85,-88.17995,41.80732,1643970005
16053,C,0,685669,In Transit,8,Fleet,H93,-88.12075,41.88622,1643970005
16242,M,0,30939,In Transit,33,Fleet,H74,-88.20795,41.74728,1643970006
16003,C,200,430052,Spreading,22,Fleet,H78,-87.94577,41.93118,1643970006
16019,C,0,591207,In Transit,35,Fleet,H69,-87.9357,41.7723,1643970033
16672,C,0,685669,Idle,0,Fleet,H93,-88.12123,41.88668,1643970033
16428,M,0,30939,In Transit,40,Fleet,H74,-88.21678,41.74717,1643970035
16004,C,150,76518,Spreading,24,Fleet,H85,-88.17428,41.80742,1643970036
16539,C,200,430052,Spreading,20,Fleet,H78,-87.9491,41.93103,1643970051
16118,C,0,1004646,Idle,0,Fleet,H67,-88.04,41.92113,1643970063
16272,C,0,591207,In Transit,15,Fleet,H69,-87.93602,41.77438,1643970063
16106,C,0,685669,In Transit,13,Fleet,H93,-88.1214,41.88727,1643970063
16045,M,0,30939,In Transit,38,Fleet,H74,-88.22115,41.74707,1643970065
16491,C,0,430125,In Transit,20,Fleet,H78,-87.95288,41.93085,1643970065
16208,C,150,76518,Spreading,26,Fleet,H85,-88.17203,41.80893,1643970065
16362,C,0,559886,In Transit,6,Fleet,H70,-87.97197,41.83195,1643970094
16109,C,100,685669,Spreading,20,Fleet,H93,-88.12143,41.88918,1643970095
16032,M,0,30939,Idle,0,Fleet,H74,-88.22448,41.74735,1643970096
16310,C,0,430125,Idle,0,Fleet,H78,-87.9533,41.93087,1643970096
16140,C,0,76815,In Transit,15,Fleet,H85,-88.16798,41.81082,1643970096
16469,C,0,591207,Idle,0,Fleet,H69,-87.94623,41.77435,1643970125
17134,C,100,685687,Spreading,15,Fleet,H93,-88.12147,41.89202,1643970126
16699,C,200,430125,Spreading,22,Fleet,H78,-87.95628,41.93028,1643970127
16166,C,0,76815,In Transit,22,Fleet,H85,-88.1674,41.80902,1643970127
17631,C,0,591207,In Transit,8,Fleet,H69,-87.94657,41.77428,1643970154
17295,C,100,685695,Spreading,15,Fleet,H93,-88.12152,41.89437,1643970154
17209,M,0,30939,In Transit,20,Fleet,H74,-88.22492,41.74748,1643970155
17181,C,200,430125,Spreading,15,Fleet,H78,-87.95667,41.93013,1643970155
17842,C,0,76815,In Transit,4,Fleet,H85,-88.16737,41.80827,1643970155
17254,C,0,685710,In Transit,20,Fleet,H93,-88.12155,41.89578,1643970183
17146,C,0,591238,In Transit,11,Fleet,H69,-87.94608,41.77422,1643970184
17638,C,0,76815,In Transit,29,Fleet,H85,-88.16735,41.80648,1643970185
17669,C,200,430168,Spreading,26,Fleet,H78,-87.96043,41.92665,1643970186
17191,M,0,30939,In Transit,38,Fleet,H74,-88.22835,41.74635,1643970187
17974,C,0,591238,In Transit,35,Fleet,H69,-87.94187,41.77435,1643970216
17375,C,0,685710,In Transit,22,Fleet,H93,-88.12045,41.89985,1643970216
17513,M,0,30939,In Transit,40,Fleet,H74,-88.23612,41.7439,1643970217
17469,C,200,430168,Spreading,24,Fleet,H78,-87.96102,41.92612,1643970217
17145,C,0,76815,In Transit,13,Fleet,H85,-88.16743,41.80203,1643970217
17641,C,0,591238,Idle,0,Fleet,H69,-87.93603,41.77443,1643970244
17493,C,100,685710,Spreading,17,Fleet,H93,-88.12045,41.90183,1643970244
17197,M,0,30939,In Transit,35,Fleet,H74,-88.2401,41.74258,1643970246
17242,C,0,430232,In Transit,8,Fleet,H78,-87.96417,41.92323,1643970246
17300,C,0,76815,In Transit,26,Fleet,H85,-88.1703,41.80207,1643970247
17332,C,0,591238,In Transit,13,Fleet,H69,-87.93583,41.7746,1643970273
17470,C,0,559893,In Transit,26,Fleet,H70,-87.97615,41.81475,1643970273
17176,C,0,685734,Idle,0,Fleet,H93,-88.12027,41.90395,1643970273
17269,C,0,430232,In Transit,29,Fleet,H78,-87.96768,41.92485,1643970274
17203,M,0,30939,In Transit,31,Fleet,H74,-88.2441,41.7413,1643970275
17728,C,0,76815,In Transit,6,Fleet,H85,-88.17232,41.80247,1643970275
17394,C,0,591238,In Transit,35,Fleet,H69,-87.93593,41.7783,1643970304
17358,C,0,559893,In Transit,6,Fleet,H70,-87.9752,41.81217,1643970304
17614,C,0,685734,In Transit,13,Fleet,H93,-88.1182,41.90377,1643970304
18116,C,0,430232,In Transit,31,Fleet,H78,-87.97222,41.9268,1643970305
17568,C,0,76815,In Transit,6,Fleet,H85,-88.17198,41.80345,1643970305
17342,M,0,30939,In Transit,35,Fleet,H74,-88.24763,41.74003,1643970306
18346,C,0,591238,In Transit,33,Fleet,H69,-87.9361,41.78277,1643970333
18378,C,0,559893,In Transit,6,Fleet,H70,-87.9759,41.81237,1643970333
18822,C,0,685734,In Transit,31,Fleet,H93,-88.11387,41.90337,1643970333
18403,M,0,30939,In Transit,15,Fleet,H74,-88.25113,41.73902,1643970334
18737,C,200,430232,Spreading,22,Fleet,H78,-87.9774,41.929,1643970334
18319,C,0,76815,Idle,0,Fleet,H85,-88.17263,41.80385,1643970334
18326,C,0,1004646,Idle,0,Fleet,H67,-88.04002,41.92112,1643970364
18607,C,0,685734,In Transit,8,Fleet,H93,-88.11258,41.9034,1643970364
18505,M,0,30939,In Transit,35,Fleet,H74,-88.24767,41.74375,1643970365
18464,C,0,430241,In Transit,15,Fleet,H78,-87.97795,41.92948,1643970365
18477,C,0,685734,Idle,0,Fleet,H93,-88.11492,41.90375,1643970394
18280,M,0,30939,In Transit,2,Fleet,H74,-88.24717,41.74452,1643970396
18495,C,0,430246,In Transit,24,Fleet,H78,-87.97638,41.93223,1643970397
18359,C,0,685734,In Transit,2,Fleet,H93,-88.11538,41.90382,1643970425
18567,M,0,30939,In Transit,38,Fleet,H74,-88.24697,41.74952,1643970427
18582,C,0,430246,In Transit,22,Fleet,H78,-87.97812,41.93907,1643970436
18442,C,0,559900,In Transit,29,Fleet,H70,-87.97347,41.82398,1643970452
18373,M,0,30939,In Transit,38,Fleet,H74,-88.24483,41.75222,1643970454
18708,C,0,430249,In Transit,24,Fleet,H78,-87.97835,41.94033,1643970455
18686,C,0,685734,Idle,0,Fleet,H93,-88.11955,41.90418,1643970484
18300,M,0,30939,In Transit,33,Fleet,H74,-88.243,41.7578,1643970486
18324,C,200,430249,Spreading,20,Fleet,H78,-87.97778,41.94467,1643970486
19755,C,0,591238,In Transit,35,Fleet,H69,-87.94135,41.78897,1643970513
19561,C,0,685734,Idle,0,Fleet,H93,-88.12013,41.90423,1643970513
19689,M,0,30939,Idle,0,Fleet,H74,-88.24293,41.75912,1643970521
19432,C,0,430256,In Transit,26,Fleet,H78,-87.97748,41.94555,1643970521
19492,C,0,591238,In Transit,11,Fleet,H69,-87.94903,41.78852,1643970543
19964,C,0,430256,In Transit,31,Fleet,H78,-87.97657,41.94935,1643970545
19482,C,0,591238,In Transit,35,Fleet,H69,-87.94708,41.78512,1643970573
19518,C,0,685734,Idle,0,Fleet,H93,-88.12015,41.90425,1643970573
19538,C,0,76815,In Transit,2,Fleet,H85,-88.17257,41.8039,1643970574
19940,M,0,30939,In Transit,33,Fleet,H74,-88.24283,41.76127,1643970575
19587,C,200,430256,Spreading,17,Fleet,H78,-87.97787,41.9527,1643970575
19457,C,200,430325,Spreading,20,Fleet,H78,-87.97873,41.95758,1643970605
19956,C,0,76815,In Transit,4,Fleet,H85,-88.17232,41.80352,1643970605
19592,M,0,30939,In Transit,38,Fleet,H74,-88.2427,41.7643,1643970606
19535,M,0,591238,In Transit,33,Fleet,H69,-87.94688,41.77553,1643970633
19599,C,0,685738,In Transit,22,Fleet,H93,-88.12067,41.90233,1643970634
19420,C,0,586482,Idle,0,Fleet,H62,-88.2535,41.97985,1643970636
19446,C,0,76815,In Transit,6,Fleet,H85,-88.17198,41.80335,1643970636
19557,M,0,30939,In Transit,42,Fleet,H74,-88.242,41.77055,1643970637
19541,C,0,430352,In Transit,15,Fleet,H78,-87.97877,41.95957,1643970637
19675,C,0,1004646,Idle,0,Fleet,H67,-88.03997,41.92117,1643970664
19474,M,0,591238,In Transit,6,Fleet,H69,-87.94702,41.77442,1643970664
19437,C,150,685742,Spreading,22,Fleet,H93,-88.12067,41.89957,1643970664
20166,M,0,30939,In Transit,40,Fleet,H74,-88.24103,41.77393,1643970665
19540,C,200,430352,Spreading,15,Fleet,H78,-87.97875,41.96167,1643970665
19455,C,0,76815,In Transit,2,Fleet,H85,-88.17248,41.80252,1643970665
20591,M,0,30939,In Transit,38,Fleet,H74,-88.2407,41.78032,1643970694
20621,C,200,430352,Idle,0,Fleet,H78,-87.97873,41.96305,1643970694
20758,C,150,685758,Spreading,24,Fleet,H93,-88.12168,41.89615,1643970694
21040,C,0,76815,In Transit,24,Fleet,H85,-88.17438,41.80365,1643970695
20560,C,0,559900,In Transit,6,Fleet,H70,-87.99922,41.83143,1643970722
20816,C,0,685772,In Transit,20,Fleet,H93,-88.1217,41.89435,1643970723
21188,M,0,30939,In Transit,40,Fleet,H74,-88.24075,41.78343,1643970725
20684,C,0,430375,Idle,0,Fleet,H78,-87.97872,41.96305,1643970725
20592,C,0,76823,In Transit,24,Fleet,H85,-88.17742,41.80508,1643970725
20734,M,0,30939,In Transit,38,Fleet,H74,-88.24108,41.79007,1643970755
20968,C,0,430375,In Transit,6,Fleet,H78,-87.97872,41.96313,1643970755
20641,C,0,76823,In Transit,29,Fleet,H85,-88.18255,41.80507,1643970755
20623,C,0,685787,In Transit,29,Fleet,H93,-88.12163,41.89025,1643970755
20582,C,0,685807,Idle,0,Fleet,H93,-88.12163,41.88812,1643970783
20838,C,0,76823,In Transit,26,Fleet,H85,-88.18538,41.80438,1643970784
20698,C,0,430386,In Transit,15,Fleet,H78,-87.97873,41.96538,1643970785
20960,M,0,30939,In Transit,38,Fleet,H74,-88.2408,41.79327,1643970786
20659,C,0,685807,Idle,0,Fleet,H93,-88.12163,41.88803,1643970814
20813,M,0,591238,In Transit,13,Fleet,H69,-87.94857,41.77418,1643970815
20901,C,0,430386,Idle,0,Fleet,H78,-87.97873,41.96668,1643970815
20955,M,0,30939,Idle,0,Fleet,H74,-88.24038,41.79785,1643970816
20888,C,0,76823,In Transit,6,Fleet,H85,-88.18882,41.80195,1643970816
21114,C,0,685807,Idle,0,Fleet,H93,-88.12165,41.88803,1643970843
21386,M,0,30939,In Transit,35,Fleet,H74,-88.2401,41.80005,1643970844
20797,C,0,430386,In Transit,6,Fleet,H78,-87.9789,41.96673,1643970844
21079,C,150,76823,Spreading,22,Fleet,H85,-88.18858,41.80447,1643970844
21700,M,0,591238,In Transit,13,Fleet,H69,-87.94653,41.77442,1643970873
21775,C,100,685811,Spreading,13,Fleet,H93,-88.12163,41.88727,1643970873
21724,M,0,30939,In Transit,40,Fleet,H74,-88.23948,41.80317,1643970874
21898,C,200,430386,Idle,0,Fleet,H78,-87.97882,41.96538,1643970874
22361,C,0,76832,In Transit,8,Fleet,H85,-88.18812,41.80682,1643970874
21719,C,0,651325,In Transit,8,Fleet,H60,-88.06285,41.74215,1643970903
21749,M,0,591238,In Transit,35,Fleet,H69,-87.94663,41.77805,1643970903
21788,C,0,239902,Idle,0,Fleet,H75,-88.04272,41.80792,1643970903
21747,C,100,685828,Spreading,20,Fleet,H93,-88.12153,41.88433,1643970903
21695,M,0,30939,In Transit,15,Fleet,H74,-88.23772,41.80793,1643970904
21804,C,0,430410,Idle,0,Fleet,H78,-87.97887,41.96515,1643970904
21878,C,0,76832,In Transit,26,Fleet,H85,-88.18593,41.80663,1643970904
21703,C,0,559900,In Transit,13,Fleet,H70,-88.01095,41.83088,1643970932
21959,C,0,239902,Idle,0,Fleet,H75,-88.04277,41.80755,1643970933
21922,C,100,685828,Spreading,20,Fleet,H93,-88.12148,41.88218,1643970934
22169,M,0,30939,In Transit,42,Fleet,H74,-88.23438,41.80727,1643970935
21729,C,0,430410,In Transit,6,Fleet,H78,-87.97873,41.96513,1643970935
21969,C,0,76832,In Transit,29,Fleet,H85,-88.17953,41.80735,1643970935
21773,C,0,651325,In Transit,33,Fleet,H60,-88.0632,41.7486,1643970963
21723,C,0,1004646,Idle,0,Fleet,H67,-88.03995,41.92118,1643970963
22100,M,0,591238,In Transit,20,Fleet,H69,-87.94622,41.79037,1643970963
22049,C,0,239902,In Transit,22,Fleet,H75,-88.04483,41.80753,1643970963
21819,M,0,30939,In Transit,42,Fleet,H74,-88.22537,41.80778,1643970964
22119,C,200,430410,Spreading,17,Fleet,H78,-87.97888,41.96608,1643970964
22472,C,0,76832,In Transit,29,Fleet,H85,-88.17642,41.80693,1643970964
21829,C,0,685858,Idle,0,Fleet,H93,-88.1209,41.87928,1643970964
21709,M,0,591238,In Transit,6,Fleet,H69,-87.94545,41.7888,1643970994
21771,M,0,30939,In Transit,40,Fleet,H74,-88.22093,41.80833,1643970995
21991,C,200,430410,Idle,0,Fleet,H78,-87.97893,41.9652,1643970995
21710,C,0,685862,In Transit,11,Fleet,H93,-88.12125,41.87908,1643970995
21909,C,0,76832,In Transit,29,Fleet,H85,-88.17133,41.80937,1643970996
21795,C,0,239902,In Transit,20,Fleet,H75,-88.05223,41.80788,1643971023
21935,C,0,76832,In Transit,24,Fleet,H85,-88.1691,41.81072,1643971023
22167,C,100,685862,Spreading,13,Fleet,H93,-88.12367,41.87888,1643971023
22408,M,0,30939,In Transit,35,Fleet,H74,-88.21357,41.81037,1643971024
21899,C,0,430447,Idle,0,Fleet,H78,-87.97872,41.96673,1643971024
23124,C,150,685869,Spreading,13,Fleet,H93,-88.12647,41.87863,1643971054
23030,M,0,30939,In Transit,35,Fleet,H74,-88.2097,41.81038,1643971055
23237,C,0,430447,In Transit,6,Fleet,H78,-87.97887,41.9666,1643971055
23285,C,150,76832,Idle,0,Fleet,H85,-88.16747,41.81068,1643971055
23127,C,0,239902,In Transit,31,Fleet,H75,-88.06103,41.80832,1643971082
23223,M,0,591238,In Transit,35,Fleet,H69,-87.94702,41.78377,1643971083
23250,C,0,76849,In Transit,20,Fleet,H85,-88.1674,41.80935,1643971084
22930,C,0,685891,In Transit,15,Fleet,H93,-88.12932,41.87822,1643971084
23068,M,0,30939,In Transit,29,Fleet,H74,-88.20302,41.80968,1643971085
22941,C,0,430463,Idle,0,Fleet,H78,-87.97892,41.96517,1643971085
23465,C,0,651325,In Transit,33,Fleet,H60,-88.04372,41.7503,1643971113
23032,M,0,591238,In Transit,35,Fleet,H69,-87.94688,41.77577,1643971113
22846,M,0,30939,In Transit,33,Fleet,H74,-88.19977,41.80903,1643971114
22848,C,0,430463,In Transit,6,Fleet,H78,-87.97873,41.96532,1643971114
22951,C,0,76849,In Transit,29,Fleet,H85,-88.16738,41.80672,1643971114
22949,C,100,685894,Spreading,15,Fleet,H93,-88.13233,41.87767,1643971114
22863,C,0,651325,Idle,0,Fleet,H60,-88.04115,41.75035,1643971142
22919,C,300,559900,Spreading,20,Fleet,H70,-88.01118,41.80993,1643971142
23015,M,100,591238,Spreading,6,Fleet,H69,-87.947,41.77438,1643971143
23008,C,0,239902,In Transit,29,Fleet,H75,-88.07057,41.80883,1643971143
22882,C,100,685908,Spreading,13,Fleet,H93,-88.13517,41.87712,1643971145
22966,M,0,30939,In Transit,33,Fleet,H74,-88.19172,41.8075,1643971146
23356,C,0,430463,In Transit,6,Fleet,H78,-87.97887,41.96668,1643971146
23436,C,0,76849,In Transit,20,Fleet,H85,-88.16733,41.80458,1643971146
23098,C,0,559912,Idle,0,Fleet,H70,-88.01118,41.80903,1643971172
